toilet_id,name,addr,lat,lng,male_wc,female_wc,male_wc_disabled,female_wc_disabled,accessible,district,dong
NMG-0177,부경대학교 학생회관,부산광역시 남구 신선로 365,35.1173955,129.0923084,20,4,0,0,0,남구,용당동
NMG-0178,부경대학교 교양관,부산광역시 남구 신선로 365,35.1173955,129.0923084,35,15,0,0,0,남구,용당동
NMG-0179,부경대학교 수산가공연구센터,부산광역시 남구 신선로 365,35.1173955,129.0923084,13,7,0,0,0,남구,용당동
NMG-0180,우암동 체육공원,부산광역시 남구 동제당로 250,35.128337,129.074221,2,2,0,0,0,남구,우암동
NMG-0181,용호1치안센터,부산광역시 남구 용호로42번길 27,35.12572,129.10951,1,1,0,0,0,남구,용호동
NMG-0182,문현주유소,부산광역시 남구 우암로 374,35.13548,129.06798,4,0,0,0,0,남구,문현동
NMG-0183,감만1동행정복지센터,부산광역시 남구 우암로 71-7,35.11692,129.08071,4,2,0,0,0,남구,감만동
NMG-0184,감만파출소 공중화장실,부산광역시 남구 우암로 86,35.11839,129.08077,2,1,1,0,1,남구,감만동
NMG-0185,삼화주유소,부산광역시 남구 우암로 92,35.11869,129.08069,4,0,0,0,0,남구,감만동
NMG-0186,부경대학교 학군단,부산광역시 남구 신선로 365,35.1173955,129.0923084,8,3,0,0,0,남구,용당동
NMG-0187,감만2동행정복지센터,부산광역시 남구 석포로 32-1,35.12264,129.08456,4,1,1,0,1,남구,감만동
NMG-0188,황령산유원지 생태숲,부산광역시 남구 진남로 268,35.149429,129.074032,3,3,1,1,1,남구,문현동
NMG-0189,문현3동행정복지센터,부산광역시 남구 고동골로4번길 7-18,35.13827,129.07169,3,4,1,0,1,남구,문현동
NMG-0190,평화공원,부산광역시 남구 신선로447번길 10,35.125346,129.099555,6,6,1,1,1,남구,대연동
NMG-0191,유엔조각공원,부산광역시 남구 유엔평화로 93,35.12929,129.098055,8,7,1,1,1,남구,대연동
NMG-0192,유엔기념공원주차장,부산광역시 남구 유엔평화로 93,35.127172,129.095864,5,2,1,1,1,남구,대연동
NMG-0193,대연5동 체육공원,부산광역시 남구 못골번영로71번길 29,35.140924,129.086828,2,1,0,0,0,남구,대연동
NMG-0194,우룡산공원,부산광역시 남구 신정번영로31번길 26-40,35.131481,129.081294,2,2,0,0,0,남구,대연동
NMG-0195,황령산 편백단지,부산광역시 남구 황령산로 391-40,35.156545,129.083998,2,2,0,0,0,남구,대연동
NMG-0196,황령산 봉수대,부산광역시 남구 황령산로 391-40,35.156545,129.083955,3,2,0,0,0,남구,대연동
NMG-0197,황령산 바람고개,부산광역시 남구 황령대로319번가길 158-32,35.150129,129.08357,2,2,0,0,0,남구,대연동
NMG-0198,동명불원,부산광역시 남구 동명로 57,35.11993,129.10387,4,5,1,1,1,남구,용당동
NMG-0199,대연6동행정복지센터,부산광역시 남구 못골로 13,35.13745,129.08320,20,12,4,4,1,남구,대연동
NMG-0200,부산 남구청,부산광역시 남구 못골로 19,35.13657,129.08437,65,58,7,7,1,남구,대연동
NMG-0201,(주)용호시장,부산광역시 남구 동명로152번길 93,35.115019,129.112777,10,7,2,1,1,남구,용호동
NMG-0202,매일주유소,부산광역시 남구 수영로 22,35.136581,129.070025,2,0,0,0,0,남구,문현동
NMG-0203,대연4치안센터,부산광역시 남구 유엔로 152,35.12972,129.09368,2,0,1,0,1,남구,대연동
NMG-0204,문화주유소,부산광역시 남구 유엔로 155,35.13052,129.09305,3,1,0,0,0,남구,대연동
NMG-0205,광안대교주유소,부산광역시 남구 유엔로 202,35.13002,129.09840,2,2,0,0,0,남구,대연동
NMG-0206,백운포체육공원 공중화장실,부산광역시 남구 백운포로 104,35.103482,129.110691,4,3,1,1,1,남구,용호동
NMG-0207,용호동 섶자리,부산광역시 남구 섶자리길 111,35.129284,129.117371,2,2,1,1,1,남구,용호동
NMG-0208,용호2동 체육공원,부산광역시 남구 용호로231번길 128-48,35.112942,129.11715,2,2,0,0,0,남구,용호동
NMG-0209,장자산체육공원,부산광역시 남구 이기대공원로 11,35.123586,129.119245,2,1,0,0,0,남구,용호동
NMG-0210,신선대 입구 임도,부산광역시 남구 신선대산복로174번길 280,35.105642,129.104677,2,2,0,0,0,남구,용호동
NMG-0211,이기대공원매점옆 공중화장실,부산광역시 남구 이기대공원로 105-19,35.122006,129.124162,3,2,0,0,0,남구,용호동
