district,dong,population,toilets_total,toilets_accessible,accessible_ratio,toilets_per_1k
남구,감만동,13695.0,9,4,0.4444444444444444,0.6571741511500547
남구,대연동,96746.0,109,53,0.48623853211009177,1.1266615674033036
남구,문현동,42863.0,28,12,0.42857142857142855,0.6532440566455917
남구,용당동,7527.0,39,4,0.10256410256410256,5.181347150259067
남구,용호동,78690.0,44,24,0.5454545454545454,0.559156182488245
남구,우암동,11706.0,8,3,0.375,0.683410216982744
