issue,toilet_id,name,addr,raw_dong,legal_dong,admin_dong
MISSING_DONG_MAPPING,NMG-0144,남부운전면허시험장 본관,부산광역시 남구 용호로 16,용호동,용호동,
MISSING_DONG_MAPPING,NMG-0145,부산감만동우체국(1층),부산광역시 남구 우암로 84,감만동,감만동,
MISSING_DONG_MAPPING,NMG-0146,소원사외부화장실,부산광역시 남구 진남로96번길 56,대연동,대연동,
MISSING_DONG_MAPPING,NMG-0148,못골파출소 공중화장실,부산광역시 남구 진남로46번길 37,대연동,대연동,
MISSING_DONG_MAPPING,NMG-0149,대연119안전센터,부산광역시 남구 수영로 279,대연동,대연동,
MISSING_DONG_MAPPING,NMG-0160,남부교육지원청,부산광역시 남구 못골로 29,대연동,대연동,
MISSING_DONG_MAPPING,NMG-0161,황령산유원지 생태숲 상부 공중화장실,부산광역시 남구 진남로 274-13,문현동,문현동,
MISSING_DONG_MAPPING,NMG-0162,용호별빛공원,부산광역시 남구 분포로 66-40,용호동,용호동,
MISSING_DONG_MAPPING,NMG-0163,문현2치안센터,부산광역시 남구 전포대로 104,문현동,문현동,
MISSING_DONG_MAPPING,NMG-0164,남구도서관,부산광역시 남구 수영로267번길 61,대연동,대연동,
MISSING_DONG_MAPPING,NMG-0165,유엔평화기념관 1층 야외,부산광역시 남구 홍곡로 320번길 106,대연동,대연동,
MISSING_DONG_MAPPING,NMG-0167,남구 치매안심센터 1층,부산광역시 남구 수영로 155,대연동,대연동,
MISSING_DONG_MAPPING,NMG-0168,남구노인복지관,부산광역시 남구 못골로 97-10,대연동,대연동,
MISSING_DONG_MAPPING,NMG-0169,문현노인복지관,부산광역시 남구 고동골로 11,문현동,문현동,
MISSING_DONG_MAPPING,NMG-0170,부산대연우체국(1층),부산광역시 남구 못골로 97,대연동,대연동,
MISSING_DONG_MAPPING,NMG-0172,동명주유소,부산광역시 남구 전포대로 7,문현동,문현동,
MISSING_DONG_MAPPING,NMG-0173,부산문현동우체국(1층),부산광역시 남구 수영로 56,문현동,문현동,
MISSING_DONG_MAPPING,NMG-0174,부산문화회관 대극장,부산광역시 남구 유엔평화로 76번길 1,대연동,대연동,
MISSING_DONG_MAPPING,NMG-0181,용호1치안센터,부산광역시 남구 용호로42번길 27,용호동,용호동,
MISSING_DONG_MAPPING,NMG-0182,문현주유소,부산광역시 남구 우암로 374,문현동,문현동,
MISSING_DONG_MAPPING,NMG-0184,감만파출소 공중화장실,부산광역시 남구 우암로 86,감만동,감만동,
MISSING_DONG_MAPPING,NMG-0185,삼화주유소,부산광역시 남구 우암로 92,감만동,감만동,
MISSING_DONG_MAPPING,NMG-0188,황령산유원지 생태숲,부산광역시 남구 진남로 268,문현동,문현동,
MISSING_DONG_MAPPING,NMG-0190,평화공원,부산광역시 남구 신선로447번길 10,대연동,대연동,
MISSING_DONG_MAPPING,NMG-0191,유엔조각공원,부산광역시 남구 유엔평화로 93,대연동,대연동,
MISSING_DONG_MAPPING,NMG-0192,유엔기념공원주차장,부산광역시 남구 유엔평화로 93,대연동,대연동,
MISSING_DONG_MAPPING,NMG-0194,우룡산공원,부산광역시 남구 신정번영로31번길 26-40,대연동,대연동,
MISSING_DONG_MAPPING,NMG-0195,황령산 편백단지,부산광역시 남구 황령산로 391-40,대연동,대연동,
MISSING_DONG_MAPPING,NMG-0196,황령산 봉수대,부산광역시 남구 황령산로 391-40,대연동,대연동,
MISSING_DONG_MAPPING,NMG-0197,황령산 바람고개,부산광역시 남구 황령대로319번가길 158-32,대연동,대연동,
MISSING_DONG_MAPPING,NMG-0200,부산 남구청,부산광역시 남구 못골로 19,대연동,대연동,
MISSING_DONG_MAPPING,NMG-0201,(주)용호시장,부산광역시 남구 동명로152번길 93,용호동,용호동,
MISSING_DONG_MAPPING,NMG-0202,매일주유소,부산광역시 남구 수영로 22,문현동,문현동,
MISSING_DONG_MAPPING,NMG-0203,대연4치안센터,부산광역시 남구 유엔로 152,대연동,대연동,
MISSING_DONG_MAPPING,NMG-0204,문화주유소,부산광역시 남구 유엔로 155,대연동,대연동,
MISSING_DONG_MAPPING,NMG-0205,광안대교주유소,부산광역시 남구 유엔로 202,대연동,대연동,
MISSING_DONG_MAPPING,NMG-0206,백운포체육공원 공중화장실,부산광역시 남구 백운포로 104,용호동,용호동,
